,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
5000,"Sydney era uma bruxa, então ela concentrou água em suas mãos para praticar a magia da água.",sydney foi um súdito de modo que se concentrou a água em suas,"A Sydney era uma bruxa, por isso concentrou água nas mãos para praticar magia da água.",Por que Sydney fez isso?,Por que o Sydney?,Porque é que a Sydney fez isto?,Beba a água,beber a água,Beba a água.,melhorar suas habilidades mágicas de água,melhorar as habilidades de magia da água,Melhora as habilidades de magia da água.,Beba um copo de água,án,"- Não, não.",B
5001,Remy perguntou a Taylor por que seus pães estavam ficando deliciosos.,Remy perguntou a Taylor sobre o motivo de seus rolos de pão estarem fazendo a bolacha,O Remy perguntou à Taylor porque é que os bolinhos dela estavam a ficar gomosos.,O que vai acontecer com Taylor?,O que acontecerá com Taylor?,O que vai acontecer com a Taylor?,Pergunta-se do que eles estão falando,pergunta o que eles estão falando sobre,Perguntou-se do que eles estavam a falar.,Diga a Remy para assar os rolos por mais tempo,Contar a Remy para batizar os rolos mais,Diz ao Remy para fazer os bolinhos mais tempo.,Ignorar a pergunta de Remy,ignorar a questão de Remy,Ignora a pergunta do Remy.,B
5002,Sasha trabalha em dois empregos e está muito cansada no final do dia.,Sasha trabalha dois empregos e está muito cansado no final do dia.,Sasha trabalha em dois empregos e está muito cansado no final do dia.,O que Sasha vai querer fazer a seguir?,O que queremos com Sasha?,O que é que o Sasha vai querer fazer a seguir?,ser contratado por dois empregos diferentes,ser contratado por dois diferentes empregos,ser contratado por dois empregos diferentes,ir trabalhar para um dia inteiro de trabalho,ir trabalhar por um dia inteiro de trabalho,ir trabalhar por um dia inteiro de trabalho,Aproveite o fim de semana para relaxar,retire o final de semana para se relaxar,Tirar o fim de semana para relaxar,C
5003,Alex limpou o olho de Remy com um tecido porque eles estavam chorando por horas.,"Alex fez uma lavagem ocular de Remy com um tecido, pois choravam por horas.",A Alex limpou o olho do Remy com um lenço porque estavam a chorar durante horas.,Como Alex se sentiria depois?,Como se sentiria Alex depois?,Como se sentiria o Alex depois?,Como eles se importam,como se cuidam,Como se eles se importassem.,compassivo e cortês,compassivo e courteo,Compassivo e cortês.,Como um incómodo,Como um incômodo,Como um incômodo.,B
5004,"O Lee derramou refrigerante por todo o lado, o dia não estava a correr muito bem.","Lee jogou soda em todas as partes, o dia não estava muito bem.",O Lee derramou refrigerante por todo o lado.,Como Lee se sentiria depois?,Como Lee sentiria depois?,Como é que o Lee se sentiria depois?,Acalme-se,calm,Calma .,agitado,agitação,agitado,ter um dia ruim,ter um dia ruim,- Não.,B
5005,Bailey guardou as roupas e limpou o quarto.,Bailey colocou as roupas e limpou o quarto.,A Bailey guardou as roupas e limpou o quarto.,Como Bailey se sentiria depois?,Como Bailey se sentiria depois?,Como é que a Bailey se sentiria depois?,arrumado próximo,         ,limpo a seguir,preguiçoso depois,Atenção tardia,"- Depois, preguiçoso.",bagunçado depois,náusea depois,Desordenado depois.,A
5006,Skylar entrou no concurso porque os principais prêmios eram uma enorme recompensa em dinheiro que ele realmente precisava.,Skylar entrou na disputa porque os prêmios mais altos eram uma grande recompensa de dinheiro que ele realmente,Skylar entrou no concurso porque o prémio principal era uma enorme recompensa em dinheiro que ele realmente precisava.,O que a Skylar vai querer fazer a seguir?,O que queremos com Skylar?,O que vai a Skylar querer fazer a seguir?,lugar baixo no concurso,baixar o contest,lugar baixo no concurso,ganhar o concurso,ganhar o concurso,Ganha o concurso.,Perder o concurso,Perder o contest,Perder o concurso.,B
5007,Robin lutou contra um inimigo que eles tinham que não iria deixá-los sair.,Robin lutou contra um inimigo que tinha que não deixaria desligar.,Robin lutou contra um inimigo que não os deixou ir.,O que vai acontecer com Robin?,O que acontecerá com Robin?,O que vai acontecer ao Robin?,comprar um carro,compra de um carro,comprar um carro,ganhar a luta,vencer a luta,Ganhar a luta.,Alugar um carro,aluguer de um automóvel,alugar um carro,B
5008,Sasha fez muitos amigos no acampamento de verão.,Sasha fez muitos amigos no acampamento de verão.,Sasha fez muitos amigos no acampamento de verão.,Como Sasha se sentiria depois?,Como se sentiria Sasha depois?,Como é que o Sasha se sentiria depois?,Bem-gostado,Bem-vindo,Muito popular.,isolado,isolado,isolado,Solitário,Só,Solitário.,A
5009,Cameron veio do nada. Seu sucesso foi ainda mais doce por causa disso.,"Cameron não veio de nada, seu sucesso foi até mais adoçante por causa dele.","O Cameron veio do nada, o sucesso dele foi ainda mais doce por causa disso.",Por que Cameron fez isso?,Por que Cameron fez isso?,Porque é que a Cameron fez isto?,ser um fracasso,ser uma falha,ser um fracasso,Merecê-lo,merecer,Mereço-o .,Diga aos seus amigos,contacte os seus amigos,Diz aos amigos dele.,B
