,context,question,answerA,answerB,answerC,correct
0,"Percebendo que ele estava sendo arrogante e rude, Jan deu espaço ao Bailey.",O que é que a Jan precisa de fazer antes disto?,precisava de ser despreocupado,Dá espaço à Bailey.,Precisava de perceber que a Bailey estava chateada.,C
1,"Era hora de comprar mantimentos, por isso a Sasha levou a família às compras.",O que os Outros vão querer fazer a seguir?,ser produtivo,qualquer coisa para comer,ajuda a fazer as compras,C
2,"Querendo fazer sorvete caseiro, Kendall colocou a máquina em operação.",O que Kendall vai querer fazer a seguir?,fazer sorvete,obter leite,comer sorvete,A
3,A Robin comprou um telefone novo e partiu logo depois de o ter.,Como é que a Robin se sentiria depois?,Deprimido,cumprido,excitado,A
4,O cara passou a ouvir quando ninguém mais o faria e todas as crianças o amavam.,Como descreveria Carson?,uma pessoa cruel,uma pessoa queridora,só pensar de si,B
5,"Robin superou a sua vergonha e medo, e levou a acusação a julgamento.",Como é que a Robin se sentiria depois?,Senti que tinha sido uma perda de tempo .,senti-me culpado,sentia-se orgulhosa de si mesma.,C
6,"O Carson tirou a chave do bolso do Jordan, o que o fez ficar trancado fora da casa.",O que vai querer fazer a seguir?,Sabia onde estava a chave.,Guarda a chave.,Entra pela janela .,B
7,Riley incutiu medo nos corações dos aldeões quando anunciou que as suas forças iriam queimar todas as casas que abrigassem fugitivos.,Porque é que a Riley fez isto?,Impressionar o general do seu exército .,Fugir da aldeia,Acalma os aldeões .,A
8,"Bailey estava com medo de se mudar, então Riley manteve contato com Bailey o tempo todo.",Como Bailey se sentiria como resultado?,aliviado,Preocupado com o bem-estar de Bailey,um amigo gentil para cuidar de Bailey,A
9,A Remy já não cozinhava mais em casa depois de quase ter queimado a cozinha a fazer massas.,Porque é que o Remy fez isto?,evitar o perigo de incêndio,comer fora,Ignora as falhas dela.,A
10,O Robert estava a candidatar-se à escola de enfermagem e pediu à Lee uma carta de recomendação.,O que é que o Robert precisava de fazer antes disto?,Acabar de ir para a faculdade de medicina,Faça um bom trabalho para Lee impressioná-los .,Também quero um.,B
11,A Jordan tinha ciúmes das novas tintas do Carson e usou a sua variedade sem permissão.,Como descreveria o Jordan?,feliz,um imatur,Preocupado em perturbar o Carson,B
12,"Sasha ficou feliz por ver que, ao chegar em casa, a porta da frente estava trancada como estava quando ela saiu da casa naquela manhã cedo.",Como descreveria a Sasha?,- É bom.,Ainda trancado.,Normal,C
13,A Addison estava a dar a festa de aniversário à tarde e ninguém veio.,Como se sentiria a Addison depois?,alguém com habilidades de planejamento de festas pobres,rejeitado,feliz,B
14,"A Kai precisava de ir à casa de banho, por isso desculpou-se antes de sair da mesa.",Como é que o Kai se sentiria depois?,ansioso depois,educado depois.,- Estressado depois.,B
15,"Ash ficou na piscina por muito tempo e teve uma queimadura de sol, então Ash colocou aloe em suas queimaduras solares.",Como Ash se sentiria depois?,cuidado,Aliviado,cauteloso,B
16,O Jordan estava a fazer picles e queria guardar tudo antes da mãe voltar.,O que vai querer fazer a seguir?,Deixe os picles fora,fazer uma bagunça na cozinha,Acabar de decorar e limpar,C
