,context,question,answerA,answerB,answerC,correct
0,"bailey foi uma pessoa bonita, assim ela chamou a família.",O que acontecerá com os outros?,conversar com a família,baile de ódio,agradecer bailey,C
1,Alex encontrou um anel na praia e tentou descobrir a quem pertencia.,O que é que a pessoa que perdeu vai querer fazer a seguir?,Atira-o para o oceano .,"Transforme-o em ""perdidos e encontrados"".",Deixe a praia,B
2,Quinn jogador com remy balançando ela ao redor e ela riu e pediu mais.,O que Quinn vai querer fazer a seguir?,Seja amigável com Remy,Tenha a confiança de Remy,Põe o Remy no chão.,C
3,"O Casey era popular no liceu, era um jogador de futebol.",Como descreveria o Casey?,uma pessoa preguiçosa,Casey que tem uma estrela de futebol,pessoa social,C
4,Alex bateu na mesa onde o café estava colocado.,O que vai acontecer ao Riley?,Continua a beber o café.,derramar o café,Tenho de comprar um recheio.,B
5,A Robin levou o portátil da Taylor para limpeza.,O que vai acontecer com a Taylor?,pagar a conta da reparação e limpeza,inútil,apoiado,A
6,Ash ainda estava irritado com a mãe por fazer seu sanduíche sem mostarda,Como descreveria Ash?,sem apetite,pequeno,doce,B
7,Quinn derramou-lhes as tripas com as suas piadas e bom humor.,Como descreveria o Quinn?,Uma pessoa muito séria.,Uma pessoa muito engraçada.,Uma pessoa muito mal-humorada.,B
8,Kendall viu o amor deles no cinema.,Como se sentiria a Kendall depois?,Envergonhado.,muito tímido,Como se ela quisesse falar.,B
9,"A namorada do Kai adorava viajar, e ele também, por isso, fizeram isso juntos.",Porque é que o Kai fez isto?,Queria ter novas experiências.,Queria ter velhas memórias,Fica feliz por eles.,A
10,Jan comprou um gato na loja de animais e levou-o para casa.,O que vai acontecer com Jan?,Formar um vínculo com o gato,Compre uma tartaruga.,Cuidado com o gato deles.,A
11,"A Casey estava a usar o bálsamo dos lábios da Riley, e depois colocou-o na bolsa dela.",O que é que o Casey precisa de fazer antes disto?,Compre um novo bálsamo para os lábios.,Pergunta à Riley se ela pode emprestá-lo .,Roubar-lhe o Riley.,B
12,Taylor jogou dodgeball com um grupo de amigos na escola.,Como se sentiriam os Outros?,Com o coração partido.,sociável,desanimado,B
13,Jordan fez um teste que ela precisava estudar para amanhã.,Como você descreveria a Jordânia?,um estudante,inteligente,um abandono universitário,A
14,"Robin tinha sido amigo dele por anos, e queria fazer algo especial para o seu aniversário.",O que Robin vai querer fazer a seguir?,Reunir amigos,Compre um cartão com uma nota curta dentro,Ligue para ele e deseje um feliz aniversário,A
15,Jordan levou uma bola de futebol para fora para jogar com os amigos.,O que é que a Jordan precisa de fazer antes disto?,jogar futebol,comprar uma bola de futebol,Vai lá para fora.,B
16,Riley salvou o seu povo de um regime opressivo e instalou um novo líder.,O que acontecerá aos Outros?,tornar-se conselheiro,Fica zangado com o Riley.,ser salvo,C
17,"A Tracy era uma mãe protetora, por isso protegia os olhos do Aubrey.",O que vai acontecer ao Aubrey?,Esconde o Aubrey da visão chocante,Continuem a proteger o Aubrey da visão assustadora,Ele vai agradecer à Tracy .,C
18,"A Addison tentou com todas as suas forças, mas não conseguiram levantar a grande pedra da perna do pai.",O que é que a Addison vai querer fazer a seguir?,mantêm o pai calmo,Veja a pedra esmagar a perna dele,Chama a polícia.,C
19,A Kendall sentiu o nódulo dentro do Jesse e disse ao Jesse que precisavam de fazer um teste de cancro.,Como se sentiria a Kendall depois?,Preocupado que Jesse possa ter gás,Determinado a descobrir o que se passa com a Kendall.,Preocupado que Jesse possa ter cancro,C
20,Jesse ligou imediatamente para a escola para reclamar ao diretor.,O que a escola vai querer fazer a seguir?,Expulsem todos os estudantes.,Compre um telefone na loja.,Peça desculpa ao Jesse .,C
21,Robin explodiu esta parada de picolé. Não foi tão divertido quanto ela esperava que fosse.,Como você descreveria Robin?,Em busca de emoção,ficar mais tempo,Indiferente,A
22,Tracy balançou o pescoço rapidamente para ver o pássaro voar.,O que vai acontecer à Tracy?,Faça exercícios de pescoço,Veja um carro a passar,Veja o pássaro voando por cima de sua cabeça,C
23,O Casey veio à luz sobre o que tinha acontecido na escola.,O que é que o Casey precisa de fazer antes disto?,mentir aos outros,Sê honesto .,Investigue mais,C
24,"A Bailey gostava de cuidar da casa como trabalho paralelo, por isso, quando a amiga dela foi de férias, a Bailey assumiu a casa da Taylor.",O que vai acontecer com a Bailey?,forte,Cuidado com a casa do Taylor.,orgulhoso,B
25,tracy necessitou falar com a addison para que ela caminhasse atrás dele,O que acontecerá com Addison?,captura até Addison,ele vai virar,ignorará o tracy,B
26,Riley batia no monte porque queria ficar.,Por que o Riley fez isso?,tomar uma decisão,compreender a situação,ser bom,B
27,"Quinn estava tendo uma conversa com o outro significante, Quinn deixou o coração.",Como os outros se sentiriam como resultado?,alívio,ignorado,melhor,C
28,A Quinn estava a pescar na baía com o pai e tirou o peixe da água.,Porque é que o Quinn fez isto?,Apanha o peixe.,Salvar o peixe de se afogar.,Coloque o peixe no gelo .,A
29,O Lee colocou os lábios sobre os lábios da Skylar durante o filme.,Porque é que o Lee fez isto?,Beija a Skylar .,beija-me de volta .,Ignora o filme.,A
30,A Bailey trabalha num spa que trabalha com o corpo das pessoas para as mimar.,O que vai acontecer à Skylar?,- Não .,desanimado,Pintar as unhas,C
31,Jesse publicou notas em jornais e apanhou a irmã a lê-las quando ela entrou.,O que vai acontecer ao Jesse?,violado,- Não .,Fica zangado.,B
32,A Addison foi ao quarto deles e lamentou ter sido castigada por um mês.,Como se sentiria a Addison depois?,Desculpem-se por si mesmos.,como bater a porta do quarto deles,como se se rebelasse contra a autoridade,A
33,O Carson finalmente voltou do parque naquele dia.,Como é que o Carson se sentiria depois?,Como se ela se estivesse a divertir .,exausto,Solitário,A
34,"Addison chamou os outros no dia seguinte, após faltar ao seu contato inicialmente.",O que vai acontecer com os outros?,Pegue o fone,não querer responder,Pergunte a quem Addison é,A
35,"A Bailey estava a brincar no oceano na praia, mas a Bailey começou a afundar.",O que vai querer fazer a Bailey a seguir?,Ignora o salva-vidas.,Pára de tentar nadar.,sinalize um salva-vidas,C
36,"Jesse comprou um Ford Mustang novo, e a caminho de casa, passou pela cidade a correr o mais rápido que pôde, quase que recebeu uma multa.",O que fez o Jesse?,nervoso,Comprei um carro novo.,Vendeu a sua velha station wagon,B
37,"A Riley viu a Cameron sair da escola, mesmo que a escola estivesse em sessão.",O que é que a Cameron vai querer fazer a seguir?,Vai ao shopping,Perseguir o Cameron.,Diz ao professor.,A
38,"Tracy quer fazer uma noite de jantar especial, então eles compraram hoje.",Por que o Tracy fez isso?,compra de ingredientes para o jantar,compra de roupa nova para uma data,Coloque os alimentos,A
39,Jordan parecia uma nova pessoa após perder muito peso.,O que o Jordânia precisa fazer antes disso?,exercício físico,coma muitos alimentos,parar de comer,A
40,O Casey revelou a verdade sobre onde foram ontem à noite.,Como é que o Casey se sentiria depois?,Como um mentiroso.,Honesto.,desanimado,B
41,Sasha batia a irmã com facilidade desde os 10 anos de idade.,O que acontecerá com Sasha?,ficar melhor que a irmã,mantenha bater a irmã,obter confiança,B
42,A Tracy falou ao telefone a noite toda com a Beth e ficou acordada até tarde.,Porque é que a Tracy fez isto?,rebelde contra a hora de dormir dos pais,jogar jogos no novo aplicativo do telefone,Continua a divertir-te com a Beth ao telefone .,C
43,Taylor ficou doente na terça-feira e não pôde atuar na peça.,O que é que a Taylor vai querer fazer a seguir?,Obrigado Bailey pela ajuda .,Agradeço à Jenna por os ajudar.,Não podem ir.,B
44,"A Aubrey viu todas as pessoas que entraram na loja dela naquele dia, mas o homem que esqueceu os óculos ontem nunca apareceu.",O que é que o Aubrey vai querer fazer a seguir?,Tente encontrar o homem.,Chama a polícia.,Enviar um e-mail para o colega de trabalho,A
45,A Casey encontrou uma amiga para brincar enquanto estava de férias.,O que vai querer fazer o Casey a seguir?,Ignora o amigo.,Conheça o amigo,Fique em casa.,B
46,Aubrey foi até a loja para pegar um shampoo para o banho de manhã.,O que Aubrey vai querer fazer a seguir?,comprar um frango assado,Sair da casa,obter um bom negócio,C
47,Sydney deixou Jesse depois de um tempo e voltou para casa para comer.,Como Jesse se sentiria?,muito amado,- Muito sozinho .,Alguém que se pega à rotina,B
48,O Remy queria ajudar pessoas menos afortunadas que eles.,O que os Outros vão querer fazer a seguir?,recusar ajuda,Faça o mesmo,ser útil,B
49,O Casey recusava o pedido da Addison para ir ao baile na sexta-feira.,O que é que a Addison precisa de fazer antes disto?,Rindo para sair disso,Peço ao Chase que vá.,Chorar para conseguir o que ela quer.,B
50,A Bailey ajudou a Taylor a mudar-se para o apartamento na cidade.,Porque é que a Bailey fez isto?,começar a procurar emprego,Mova o Taylor para dentro.,Decorar o apartamento.,B
